Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı
3.800.000 TL,Mevlana Mahallesi,17 Ekim 2025,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,3.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
11.000.000 TL,Kazımdirik Mahallesi,12 Ekim 2025,Daire,45 m²,140 m²,1+1,5-10,20.Kat,28.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
20.785.000 TL,Erzene Mahallesi,08 Ekim 2025,Daire,118 m²,152 m²,3+1,0 (Yeni),2.Kat,4.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2,
4.400.000 TL,Atatürk Mahallesi,16 Ekim 2025,Daire,100 m²,109 m²,2+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
5.400.000 TL,Erzene Mahallesi,09 Ekim 2025,Daire,62 m²,80 m²,2+1,11-15,4.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
4.000.000 TL,Evka 4 Mahallesi,20 Kasım 2025,Daire,95 m²,98 m²,3+1,21 Ve Üzeri,3.Kat,8.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
10.900.000 TL,Atatürk Mahallesi,05 Ekim 2025,Müstakil Ev,260 m²,320 m²,6+2,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2,
5.990.000 TL,Yeşilova Mahallesi,18 Ekim 2025,Daire,45 m²,65 m²,1+1,3,3.Kat,9.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1,
3.850.000 TL,Evka 4 Mahallesi,14 Ekim 2025,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,1.Kat,9.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1,
4.950.000 TL,Kızılay Mahallesi,23 Ekim 2025,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,,1,
6.250.000 TL,İnönü Mahallesi,19 Ekim 2025,Daire,120 m²,180 m²,3+1,5-10,Yüksek Giriş,3.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,,2,
3.150.000 TL,Kızılay Mahallesi,19 Ekim 2025,Daire,40 m²,50 m²,1+1,5-10,2.Kat,2.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Var,1,
2.500.000 TL,Kızılay Mahallesi,24 Ekim 2025,Daire,65 m²,70 m²,1+1,5-10,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Hisseli Tapu,Hayır,Boş,Yok,1,
4.150.000 TL,İnönü Mahallesi,27 Kasım 2025,Daire,80 m²,85 m²,2+1,16-20,1.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,,1,1.0
9.500.000 TL,Erzene Mahallesi,01 Ekim 2025,Daire,85 m²,95 m²,1+1,0 (Yeni),2.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2,
5.000.000 TL,Erzene Mahallesi,29 Kasım 2025,Müstakil Ev,120 m²,125 m²,3+1,16-20,,20.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kooperatiften Tapu,Evet,Boş,Yok,1,1.0
13.250.000 TL,Erzene Mahallesi,30 Eylül 2025,Villa,140 m²,160 m²,3+1,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Var,1,
16.250.000 TL,Yakaköy Mahallesi,10 Ekim 2025,Müstakil Ev,240 m²,630 m²,4+1,21 Ve Üzeri,,2.0,Klimalı,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,2,2.0
4.000.000 TL,Atatürk Mahallesi,09 Ekim 2025,Daire,70 m²,90 m²,2+1,16-20,Düz Giriş (Zemin),5.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,2,
5.400.000 TL,Yeşilova Mahallesi,22 Eylül 2025,Daire,69 m²,86 m²,2+1,5-10,25.Kat,30.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,2,
5.200.000 TL,Kazımdirik Mahallesi,27 Kasım 2025,Daire,110 m²,115 m²,3+1,21 Ve Üzeri,5.Kat,5.0,Merkezi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,2.0
6.650.000 TL,Kazımdirik Mahallesi,05 Kasım 2025,Daire,44 m²,60 m²,1+1,0 (Yeni),1.Kat,10.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1,
11.750.000 TL,Karacaoğlan Mahallesi,26 Kasım 2025,Daire,110 m²,157 m²,2+1,5-10,19.Kat,20.0,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,2,
3.950.000 TL,Erzene Mahallesi,10 Ekim 2025,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,7.Kat,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
3.450.000 TL,Mevlana Mahallesi,28 Kasım 2025,Daire,45 m²,50 m²,1+1,0 (Yeni),Düz Giriş (Zemin),3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
24.790.000 TL,Erzene Mahallesi,09 Ekim 2025,Daire,142 m²,185 m²,4+1,0 (Yeni),Bahçe Katı,4.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2,
6.750.000 TL,Kızılay Mahallesi,29 Kasım 2025,Daire,100 m²,110 m²,2+1,0 (Yeni),3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kooperatiften Tapu,Hayır,,,1,
8.600.000 TL,Kazımdirik Mahallesi,23 Ekim 2025,Daire,65 m²,75 m²,2+1,4,2.Kat,7.0,VRV,Boş,Krediye Uygun,Kat İrtifakı,Evet,Eşyalı,Yok,1,
25.000.000 TL,Mevlana Mahallesi,16 Ekim 2025,Müstakil Ev,900 m²,1.000 m²,2+1,21 Ve Üzeri,,6.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Hisseli Tapu,Hayır,Boş,Var,2,
10.600.000 TL,Meriç Mahallesi,13 Ekim 2025,Daire,122 m²,179 m²,3+1,3,5.Kat,9.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun Değil,Kat Mülkiyeti,Evet,Boş,Yok,2,
4.200.000 TL,Barbaros Mahallesi,09 Ekim 2025,Daire,55 m²,60 m²,1+1,0 (Yeni),1.Kat,13.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
3.050.000 TL,Ergene Mahallesi,08 Kasım 2025,Daire,90 m²,97 m²,2+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
2.750.000 TL,Gürpınar Mahallesi,27 Ekim 2025,Daire,70 m²,84 m²,1+1,11-15,2.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,2.0
4.300.000 TL,Koşukavak Mahallesi,20 Ekim 2025,Daire,41 m²,58 m²,1+1,1,10.Kat,24.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Bilinmiyor,Kat İrtifakı,Hayır,,Var,1,
4.250.000 TL,Gazi Osman Paşa Mahallesi,08 Ekim 2025,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,3.Kat,3.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Var,1,1.0
14.500.000 TL,Evka 3 Mahallesi,26 Kasım 2025,Villa,180 m²,220 m²,4+1,21 Ve Üzeri,,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1,1.0
3.250.000 TL,Zafer Mahallesi,26 Kasım 2025,Residence,98 m²,106 m²,3+1,21 Ve Üzeri,Yüksek Giriş,1.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Arsa Tapulu,Hayır,Boş,Yok,1,1.0
3.450.000 TL,Erzene Mahallesi,27 Kasım 2025,Daire,100 m²,110 m²,2+1,5-10,Bahçe Katı,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
5.600.000 TL,Atatürk Mahallesi,09 Ekim 2025,Daire,90 m²,110 m²,2+1,16-20,Yüksek Giriş,6.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
8.250.000 TL,Barbaros Mahallesi,22 Ekim 2025,Daire,135 m²,145 m²,3+1,11-15,5.Kat,8.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,2,
24.125.000 TL,Erzene Mahallesi,10 Ekim 2025,Daire,142 m²,185 m²,4+1,0 (Yeni),Bahçe Katı,4.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2,
3.000.000 TL,Yeşilova Mahallesi,09 Ekim 2025,Daire,40 m²,46 m²,Stüdyo,0 (Yeni),8.Kat,45.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
4.400.000 TL,Erzene Mahallesi,29 Kasım 2025,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,1.Kat,6.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,1.0
7.900.000 TL,Yeşilova Mahallesi,09 Ekim 2025,Daire,115 m²,140 m²,3+1,0 (Yeni),8.Kat,45.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,2,
4.950.000 TL,Kazımdirik Mahallesi,05 Kasım 2025,Daire,60 m²,68 m²,1+1,5-10,3.Kat,7.0,VRV,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Var,1,
5.250.000 TL,Atatürk Mahallesi,29 Kasım 2025,Daire,110 m²,130 m²,2+1,21 Ve Üzeri,3.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kooperatiften Tapu,Evet,,,1,
4.250.000 TL,Kazımdirik Mahallesi,23 Eylül 2025,Daire,30 m²,40 m²,Stüdyo,5-10,2.Kat,8.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Var,2,
3.250.000 TL,Mevlana Mahallesi,26 Kasım 2025,Daire,55 m²,65 m²,1+1,5-10,2.Kat,2.0,Klimalı,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Eşyalı,Yok,1,
2.400.000 TL,Gürpınar Mahallesi,26 Kasım 2025,Daire,70 m²,84 m²,1+1,11-15,1.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,2.0
4.500.000 TL,Mevlana Mahallesi,09 Ekim 2025,Daire,100 m²,115 m²,3+1,11-15,1.Kat,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
5.500.000 TL,Atatürk Mahallesi,27 Kasım 2025,Daire,97 m²,100 m²,3+1,16-20,3.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Var,2,
5.600.000 TL,Atatürk Mahallesi,16 Ekim 2025,Daire,95 m²,100 m²,3+1,11-15,Yüksek Giriş,3.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,
5.200.000 TL,Kazımdirik Mahallesi,30 Eylül 2025,Daire,45 m²,65 m²,1+1,5-10,2.Kat,7.0,VRV,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1,
4.000.000 TL,Mevlana Mahallesi,18 Ekim 2025,Daire,120 m²,130 m²,2+1,21 Ve Üzeri,2.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2,
4.600.000 TL,Yıldırım Beyazıt Mahallesi,06 Ekim 2025,Daire,59 m²,70 m²,2+1,5-10,1.Kat,1.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
1.699.999 TL,İnönü Mahallesi,07 Kasım 2025,Daire,40 m²,90 m²,1+1,16-20,Bahçe Katı,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
3.700.000 TL,Gazi Osman Paşa Mahallesi,18 Eylül 2025,Müstakil Ev,80 m²,126 m²,1+1,21 Ve Üzeri,,1.0,Isıtma Yok,Boş,Krediye Uygun Değil,Arsa Tapulu,Hayır,Boş,Yok,1,
7.900.000 TL,Yeşilova Mahallesi,01 Ekim 2025,Daire,115 m²,140 m²,3+1,0 (Yeni),8.Kat,45.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Evet,,,2,
7.900.000 TL,Ümit Mahallesi,16 Ekim 2025,Müstakil Ev,400 m²,440 m²,2+1,21 Ve Üzeri,,4.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Var,2,
4.000.000 TL,Atatürk Mahallesi,05 Kasım 2025,Daire,100 m²,105 m²,3+1,16-20,Bahçe Katı,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
2.800.000 TL,Koşukavak Mahallesi,07 Ekim 2025,Daire,90 m²,92 m²,2+1,21 Ve Üzeri,1.Kat,5.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
5.750.000 TL,Çınar Mahallesi,26 Eylül 2025,Müstakil Ev,230 m²,260 m²,6+3,21 Ve Üzeri,,3.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Arsa Tapulu,Hayır,Boş,Yok,3,
11.850.000 TL,Karacaoğlan Mahallesi,27 Kasım 2025,Bina,399 m²,400 m²,2+1,21 Ve Üzeri,,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Bilinmiyor,Hayır,Boş,Yok,1,1.0
3.250.000 TL,Mevlana Mahallesi,27 Kasım 2025,Daire,50 m²,55 m²,1+1,0 (Yeni),1.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
6.750.000 TL,Kazımdirik Mahallesi,08 Kasım 2025,Daire,125 m²,150 m²,3+1,21 Ve Üzeri,6.Kat,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,,1,
7.550.000 TL,Gazi Osman Paşa Mahallesi,11 Ekim 2025,Daire,150 m²,160 m²,3+1,5-10,4.Kat,9.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Var,2,
6.500.000 TL,Mevlana Mahallesi,08 Ekim 2025,Daire,110 m²,120 m²,3+1,4,1.Kat,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,2,
18.000.000 TL,Atatürk Mahallesi,29 Eylül 2025,Villa,160 m²,210 m²,3+1,0 (Yeni),,3.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,3,
4.250.000 TL,Gazi Osman Paşa Mahallesi,24 Ekim 2025,Daire,110 m²,120 m²,2+1,21 Ve Üzeri,3.Kat,3.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1,
12.950.000 TL,Yeşilova Mahallesi,15 Eylül 2025,Daire,135 m²,190 m²,3+1,1,13.Kat,23.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,1,
5.450.000 TL,Erzene Mahallesi,03 Ekim 2025,Daire,45 m²,59 m²,2+1,0 (Yeni),2.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
6.500.000 TL,Doğanlar Mahallesi,08 Ekim 2025,Bina,100 m²,110 m²,3+1,16-20,,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
6.575.000 TL,Kazımdirik Mahallesi,18 Ekim 2025,Daire,43 m²,60 m²,1+1,1,9.Kat,10.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
21.000.000 TL,Atatürk Mahallesi,29 Eylül 2025,Villa,200 m²,240 m²,4+1,0 (Yeni),,3.0,Yerden Isıtma,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
4.200.000 TL,Kazımdirik Mahallesi,24 Ekim 2025,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,6.Kat,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
2.885.000 TL,Kızılay Mahallesi,26 Kasım 2025,Daire,38 m²,44 m²,1+1,5-10,Düz Giriş (Zemin),4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Var,1,
4.250.000 TL,Koşukavak Mahallesi,07 Ekim 2025,Daire,41 m²,58 m²,1+1,1,12.Kat,24.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun Değil,Kat İrtifakı,Evet,Boş,Var,1,
13.750.000 TL,Karaçam Mahallesi,24 Ekim 2025,Villa,160 m²,1.053 m²,4+2,21 Ve Üzeri,,2.0,Klimalı,Boş,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,2,
7.250.000 TL,Kazımdirik Mahallesi,27 Kasım 2025,Daire,78 m²,90 m²,2+1,5-10,1.Kat,7.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Var,1,
4.850.000 TL,Kazımdirik Mahallesi,21 Eylül 2025,Daire,40 m²,55 m²,1+1,5-10,4.Kat,7.0,VRV,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1,
4.550.000 TL,Rafet Paşa Mahallesi,11 Kasım 2025,Daire,36 m²,60 m²,1+1,3,3.Kat,25.0,VRV,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1,
2.645.000 TL,Ümit Mahallesi,16 Ekim 2025,Daire,95 m²,100 m²,2+1,21 Ve Üzeri,1.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1,
5.925.000 TL,Kazımdirik Mahallesi,12 Ekim 2025,Daire,90 m²,110 m²,3+1,21 Ve Üzeri,6.Kat,7.0,Merkezi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,,1,
5.400.000 TL,Kızılay Mahallesi,27 Kasım 2025,Daire,100 m²,110 m²,3+1,5-10,3.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
4.000.000 TL,Mevlana Mahallesi,27 Kasım 2025,Daire,80 m²,85 m²,2+1,11-15,2.Kat,3.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,1.0
3.800.000 TL,Kazımdirik Mahallesi,09 Ekim 2025,Daire,81 m²,95 m²,2+1,21 Ve Üzeri,1.Kat,7.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Var,1,
4.600.000 TL,Erzene Mahallesi,27 Kasım 2025,Daire,47 m²,57 m²,1+1,3,1.Kat,4.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Var,1,
3.950.000 TL,Atatürk Mahallesi,22 Ekim 2025,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,4.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Var,1,
4.950.000 TL,Atatürk Mahallesi,06 Kasım 2025,Daire,65 m²,80 m²,2+1,0 (Yeni),Bahçe Katı,4.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
3.000.000 TL,Yeşilova Mahallesi,09 Ekim 2025,Daire,40 m²,46 m²,Stüdyo,0 (Yeni),8.Kat,45.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Evet,,,1,
27.000.000 TL,İnönü Mahallesi,26 Kasım 2025,Bina,110 m²,380 m²,3+1,21 Ve Üzeri,,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,,1,
4.150.000 TL,İnönü Mahallesi,27 Kasım 2025,Daire,80 m²,85 m²,2+1,16-20,2.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
4.650.000 TL,Erzene Mahallesi,20 Ekim 2025,Daire,70 m²,80 m²,2+1,5-10,2.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Yok,1,
4.500.000 TL,İnönü Mahallesi,18 Kasım 2025,Daire,100 m²,120 m²,3+1,16-20,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,1.0
3.150.000 TL,Mevlana Mahallesi,10 Ekim 2025,Daire,40 m²,45 m²,1+1,0 (Yeni),Yüksek Giriş,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.450.000 TL,Yakaköy Mahallesi,30 Ekim 2025,Müstakil Ev,75 m²,90 m²,2+1,3,,1.0,Sobalı,Mülk Sahibi Oturuyor,Bilinmiyor,Hisseli Tapu,Hayır,Boş,Var,1,
3.195.000 TL,Doğanlar Mahallesi,23 Ekim 2025,Daire,65 m²,75 m²,2+1,0 (Yeni),6.Kat,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
4.250.000 TL,Erzene Mahallesi,20 Ekim 2025,Daire,98 m²,120 m²,3+1,21 Ve Üzeri,3.Kat,5.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,1.0
18.500.000 TL,Evka 3 Mahallesi,20 Ekim 2025,Daire,150 m²,165 m²,3+1,0 (Yeni),11.Kat,12.0,Yerden Isıtma,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Var,2,
13.000.000 TL,İnönü Mahallesi,29 Kasım 2025,Daire,125 m²,150 m²,3+1,0 (Yeni),Villa Tipi,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,3,3.0
4.800.000 TL,Mevlana Mahallesi,29 Eylül 2025,Daire,70 m²,84 m²,2+1,0 (Yeni),2.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
7.500.000 TL,Serintepe Mahallesi,16 Ekim 2025,Bina,130 m²,145 m²,6+3,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,,Var,3,
