,Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı,Binanın Yaşı Num,Bulunduğu Kat Num,Salon Sayısı,Oda Sayısı Num,Toplam Oda Sayısı
408,5400000.0,Erzene Mahallesi,2025-11-29,Daire,120.0,130.0,7.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1.0,1.0,25.0,7,1.0,3.0,4.0
409,8000000.0,Tuna Mahallesi,2025-11-06,Daire,118.0,161.0,14.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun Değil,Kat İrtifakı,Evet,Boş,Yok,2.0,,7.0,5,1.0,3.0,4.0
410,4800000.0,Kazımdirik Mahallesi,2025-11-29,Müstakil Ev,100.0,110.0,8.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kooperatiften Tapu,Hayır,Boş,Var,1.0,1.0,18.0,0,1.0,2.0,3.0
411,12500000.0,Atatürk Mahallesi,2025-11-27,Müstakil Ev,98.0,100.0,3.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,,,1.0,,25.0,0,1.0,2.0,3.0
412,4000000.0,İnönü Mahallesi,,Daire,100.0,110.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1.0,,18.0,3,1.0,3.0,4.0
413,9800000.0,İnönü Mahallesi,2025-10-13,Müstakil Ev,270.0,293.0,2.0,Kombi Doğalgaz,Kiracı Oturuyor,Bilinmiyor,Müstakil Tapulu,Hayır,,Yok,2.0,,25.0,0,2.0,6.0,8.0
414,4250000.0,Zafer Mahallesi,2025-11-07,Bina,89.0,90.0,3.0,Isıtma Yok,Mülk Sahibi Oturuyor,Bilinmiyor,Arsa Tapulu,Hayır,,,1.0,,25.0,0,1.0,2.0,3.0
415,7800000.0,Kazımdirik Mahallesi,,Daire,65.0,72.0,8.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2.0,,2.0,1,1.0,2.0,3.0
416,10500000.0,Kazımdirik Mahallesi,2025-11-13,Daire,110.0,130.0,7.0,Merkezi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,,,2.0,,7.0,7,1.0,3.0,4.0
417,4650000.0,Yeşilova Mahallesi,2025-11-26,Daire,72.0,85.0,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1.0,,0.0,0,1.0,2.0,3.0
418,4175000.0,Kazımdirik Mahallesi,2025-10-31,Daire,90.0,110.0,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,25.0,1,1.0,2.0,3.0
419,1500000.0,Atatürk Mahallesi,2025-11-04,Daire,28.0,30.0,4.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1.0,,25.0,0,0.0,1.0,1.0
420,9100000.0,Ergene Mahallesi,2025-10-02,Daire,100.0,130.0,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Eşyalı,Var,1.0,,3.0,4,1.0,3.0,4.0
421,2850000.0,Mevlana Mahallesi,2025-11-27,Daire,50.0,60.0,4.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,Var,1.0,,18.0,3,1.0,1.0,2.0
422,6650000.0,Kazımdirik Mahallesi,2025-11-05,Daire,44.0,60.0,10.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1.0,,0.0,6,1.0,1.0,2.0
423,6400000.0,Kazımdirik Mahallesi,,Daire,37.0,45.0,8.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,1.0,,2.0,2,1.0,1.0,2.0
424,5750000.0,Koşukavak Mahallesi,2025-10-27,Daire,75.0,89.0,24.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2.0,,1.0,22,1.0,2.0,3.0
425,4400000.0,Atatürk Mahallesi,,Daire,100.0,106.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,25.0,2,1.0,3.0,4.0
426,5300000.0,Erzene Mahallesi,2025-11-25,Daire,120.0,125.0,4.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,25.0,1,1.0,3.0,4.0
427,14000000.0,Kazımdirik Mahallesi,2025-10-20,Daire,155.0,191.0,15.0,Merkezi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2.0,2.0,7.0,1,1.0,3.0,4.0
428,2750000.0,Atatürk Mahallesi,,Daire,40.0,44.0,5.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,18.0,2,1.0,1.0,2.0
429,8975000.0,Kemalpaşa Mahallesi,,Daire,120.0,135.0,3.0,Yerden Isıtma,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Evet,Boş,Var,2.0,,0.0,1,1.0,3.0,4.0
430,3100000.0,Doğanlar Mahallesi,2025-11-27,Daire,50.0,55.0,6.0,Yerden Isıtma,Kiracı Oturuyor,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1.0,,4.0,2,1.0,1.0,2.0
431,6950000.0,Kazımdirik Mahallesi,2025-11-10,Daire,62.0,85.0,8.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1.0,,0.0,8,1.0,2.0,3.0
432,3800000.0,Rafet Paşa Mahallesi,,Daire,90.0,110.0,3.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,25.0,3,1.0,2.0,3.0
433,4100000.0,Kazımdirik Mahallesi,,Daire,45.0,55.0,7.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1.0,,1.0,7,1.0,1.0,2.0
434,6000000.0,Yıldırım Beyazıt Mahallesi,2025-11-26,Müstakil Ev,100.0,110.0,3.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,,,3.0,,18.0,0,1.0,2.0,3.0
435,4925000.0,Rafet Paşa Mahallesi,2025-10-27,Müstakil Ev,164.0,165.0,1.0,Sobalı,Boş,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1.0,,25.0,0,1.0,2.0,3.0
436,5650000.0,Barbaros Mahallesi,2025-10-24,Daire,85.0,101.0,13.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,0.0,5,1.0,2.0,3.0
437,3650000.0,Doğanlar Mahallesi,2025-11-27,Daire,36.0,45.0,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,1.0,0.0,0,1.0,1.0,2.0
438,2800000.0,Barbaros Mahallesi,2025-10-24,Müstakil Ev,90.0,100.0,1.0,Sobalı,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Var,1.0,,25.0,0,1.0,2.0,3.0
439,4250000.0,Erzene Mahallesi,,Daire,110.0,120.0,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,2.0,,18.0,5,1.0,2.0,3.0
440,20500000.0,Evka 3 Mahallesi,,Daire,145.0,185.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,2.0,,0.0,2,1.0,3.0,4.0
441,3050000.0,Ergene Mahallesi,2025-10-14,Daire,100.0,121.0,4.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1.0,,7.0,-2,1.0,2.0,3.0
442,4750000.0,Barbaros Mahallesi,2025-11-05,Daire,55.0,88.0,30.0,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1.0,,4.0,16,1.0,1.0,2.0
443,4500000.0,Kazımdirik Mahallesi,,Daire,37.0,48.0,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1.0,,4.0,3,1.0,1.0,2.0
444,5000000.0,Atatürk Mahallesi,2025-11-17,Daire,90.0,100.0,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Var,1.0,1.0,18.0,3,1.0,2.0,3.0
445,8750000.0,Kazımdirik Mahallesi,2025-11-08,Daire,76.0,117.0,15.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1.0,,7.0,13,1.0,2.0,3.0
446,3100000.0,Mevlana Mahallesi,2025-11-19,Daire,40.0,45.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,1.0,0.0,0,1.0,1.0,2.0
447,7250000.0,Kazımdirik Mahallesi,2025-11-27,Daire,95.0,115.0,4.0,Doğalgaz Sobalı,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,2.0,2.0,7.0,0,1.0,3.0,4.0
448,4400000.0,Kazımdirik Mahallesi,2025-10-31,Daire,85.0,105.0,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1.0,,25.0,1,1.0,2.0,3.0
449,3950000.0,Atatürk Mahallesi,2025-11-29,Müstakil Ev,135.0,140.0,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kooperatiften Tapu,Hayır,Boş,Yok,1.0,1.0,18.0,0,1.0,3.0,4.0
450,11300000.0,Kazımdirik Mahallesi,2025-10-27,Daire,70.0,120.0,28.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1.0,,7.0,14,1.0,2.0,3.0
451,10750000.0,Kazımdirik Mahallesi,2025-11-08,Daire,105.0,130.0,7.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,2.0,,0.0,4,1.0,3.0,4.0
452,13750000.0,Atatürk Mahallesi,,Villa,160.0,180.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2.0,,0.0,0,1.0,4.0,5.0
453,6900000.0,Kazımdirik Mahallesi,,Daire,50.0,60.0,8.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1.0,,1.0,1,1.0,1.0,2.0
454,5280000.0,Mevlana Mahallesi,2025-11-08,Daire,130.0,140.0,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2.0,,18.0,5,1.0,3.0,4.0
455,3450000.0,Kızılay Mahallesi,2025-11-29,Müstakil Ev,110.0,120.0,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,1.0,25.0,0,1.0,3.0,4.0
456,8150000.0,Atatürk Mahallesi,2025-10-24,Daire,110.0,120.0,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,7.0,3,1.0,3.0,4.0
457,5390000.0,Erzene Mahallesi,2025-11-07,Daire,77.0,90.0,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,,,1.0,,4.0,0,1.0,2.0,3.0
458,5600000.0,Ergene Mahallesi,,Daire,65.0,70.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,,7.0,3,1.0,2.0,3.0
459,3500000.0,Erzene Mahallesi,2025-11-10,Daire,115.0,120.0,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,,13.0,0,1.0,3.0,4.0
460,7249000.0,Erzene Mahallesi,2025-11-26,Daire,120.0,130.0,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1.0,,25.0,3,1.0,3.0,4.0
461,4500000.0,İnönü Mahallesi,2025-11-27,Daire,100.0,111.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,25.0,2,1.0,3.0,4.0
462,5150000.0,İnönü Mahallesi,,Daire,135.0,140.0,5.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,18.0,3,1.0,3.0,4.0
463,14100000.0,Erzene Mahallesi,2025-10-27,Daire,112.0,130.0,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2.0,,0.0,3,1.0,3.0,4.0
464,9000000.0,Barbaros Mahallesi,2025-10-24,Daire,120.0,140.0,16.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Evet,,,2.0,,7.0,1,1.0,3.0,4.0
465,5450000.0,Atatürk Mahallesi,2025-11-29,Daire,80.0,90.0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,25.0,3,1.0,2.0,3.0
466,1750000.0,İnönü Mahallesi,2025-10-02,Daire,48.0,50.0,1.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1.0,,13.0,1,1.0,1.0,2.0
467,4250000.0,Kazımdirik Mahallesi,2025-11-27,Daire,80.0,90.0,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,1.0,7.0,2,1.0,2.0,3.0
468,3890000.0,Kazımdirik Mahallesi,2025-11-26,Daire,120.0,135.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,2.0,25.0,0,1.0,3.0,4.0
469,44000000.0,Kazımdirik Mahallesi,2025-11-08,Villa,230.0,250.0,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2.0,,18.0,0,1.0,4.0,5.0
470,3850000.0,Kemalpaşa Mahallesi,2025-11-27,Daire,50.0,58.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1.0,,0.0,2,1.0,1.0,2.0
471,13500000.0,Ergene Mahallesi,2025-10-24,Daire,190.0,220.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,3.0,,13.0,2,1.0,4.0,5.0
472,3400000.0,Evka 4 Mahallesi,,Daire,62.0,67.0,5.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Yok,1.0,,25.0,1,1.0,2.0,3.0
473,4000000.0,Ergene Mahallesi,2025-11-27,Daire,55.0,65.0,6.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,7.0,0,1.0,1.0,2.0
474,2950000.0,Barbaros Mahallesi,2025-10-28,Daire,110.0,122.0,3.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,25.0,2,1.0,3.0,4.0
475,5100000.0,İnönü Mahallesi,2025-10-15,Daire,135.0,140.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Evet,,,1.0,,18.0,4,1.0,3.0,4.0
476,5850000.0,Erzene Mahallesi,2025-11-20,Daire,100.0,120.0,8.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,2.0,25.0,6,1.0,3.0,4.0
477,3350000.0,Erzene Mahallesi,2025-11-27,Daire,86.0,90.0,6.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,,25.0,3,1.0,2.0,3.0
478,4100000.0,İnönü Mahallesi,,Daire,78.0,80.0,5.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,18.0,3,1.0,2.0,3.0
479,6250000.0,Kızılay Mahallesi,2025-10-05,Daire,110.0,120.0,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,2.0,,7.0,2,1.0,3.0,4.0
480,3990000.0,Meriç Mahallesi,2025-11-20,Müstakil Ev,150.0,155.0,2.0,Klimalı,Mülk Sahibi Oturuyor,Bilinmiyor,Hisseli Tapu,Hayır,Boş,Yok,2.0,2.0,25.0,0,1.0,4.0,5.0
481,39999999.0,Kızılay Mahallesi,2025-11-27,Villa,375.0,750.0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,,4.0,,7.0,0,1.0,7.0,8.0
482,6750000.0,Erzene Mahallesi,2025-11-29,Daire,75.0,80.0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,1.0,3.0,5,1.0,2.0,3.0
483,6900000.0,Kazımdirik Mahallesi,,Daire,45.0,50.0,8.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1.0,,1.0,0,1.0,1.0,2.0
484,11000000.0,Mevlana Mahallesi,2025-10-27,Daire,180.0,200.0,5.0,Sobalı,Kiracı Oturuyor,Bilinmiyor,Arsa Tapulu,Hayır,Boş,Yok,1.0,1.0,25.0,3,1.0,2.0,3.0
485,6400000.0,Kazımdirik Mahallesi,2025-11-04,Daire,38.0,50.0,15.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,1.0,7.0,4,1.0,1.0,2.0
486,2750000.0,Zafer Mahallesi,2025-11-26,Daire,106.0,115.0,3.0,Sobalı,Kiracı Oturuyor,Bilinmiyor,Hisseli Tapu,Hayır,,,1.0,,25.0,-1,1.0,3.0,4.0
487,4250000.0,İnönü Mahallesi,,Daire,100.0,110.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,18.0,4,1.0,3.0,4.0
488,5250000.0,Barbaros Mahallesi,,Daire,48.0,57.0,30.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Eşyalı,Yok,1.0,,4.0,12,1.0,1.0,2.0
489,3400000.0,Kızılay Mahallesi,2025-10-24,Daire,44.0,54.0,5.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,,7.0,1,1.0,1.0,2.0
490,4250000.0,Atatürk Mahallesi,2025-11-21,Daire,78.0,80.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,13.0,2,1.0,2.0,3.0
491,8800000.0,Erzene Mahallesi,2025-11-15,Daire,100.0,120.0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2.0,,4.0,3,1.0,2.0,3.0
492,9100000.0,Atatürk Mahallesi,2025-10-31,Daire,153.0,173.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,,,2.0,,25.0,4,1.0,3.0,4.0
493,4150000.0,Mevlana Mahallesi,2025-11-07,Daire,75.0,84.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,,,1.0,,0.0,3,1.0,2.0,3.0
494,3500000.0,Rafet Paşa Mahallesi,,Daire,100.0,130.0,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1.0,,25.0,0,1.0,2.0,3.0
495,5500000.0,Kazımdirik Mahallesi,2025-11-29,Daire,45.0,50.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Eşyalı,Yok,1.0,1.0,0.0,2,1.0,1.0,2.0
496,13000000.0,Yeşilova Mahallesi,2025-11-27,Daire,130.0,160.0,9.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2.0,2.0,13.0,8,1.0,3.0,4.0
497,7850000.0,Yakaköy Mahallesi,2025-10-31,Müstakil Ev,60.0,75.0,1.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Tapu Kaydı Yok,Hayır,,Yok,1.0,,25.0,0,1.0,2.0,3.0
498,14000000.0,Evka 3 Mahallesi,,Daire,160.0,180.0,8.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,2.0,,25.0,7,1.0,3.0,4.0
499,2800000.0,Evka 4 Mahallesi,2025-10-02,Daire,65.0,66.0,6.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1.0,,25.0,2,1.0,2.0,3.0
500,15500000.0,Yeşilova Mahallesi,,Daire,130.0,160.0,24.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2.0,,1.0,18,1.0,3.0,4.0
501,4350000.0,Kazımdirik Mahallesi,2025-11-28,Daire,120.0,125.0,8.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Yok,1.0,,25.0,1,1.0,3.0,4.0
502,15000000.0,Kızılay Mahallesi,2025-11-20,Müstakil Ev,97.0,197.0,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Var,3.0,,18.0,0,2.0,5.0,7.0
503,4000000.0,Mevlana Mahallesi,2025-11-28,Daire,120.0,130.0,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2.0,,25.0,2,1.0,2.0,3.0
504,3300000.0,Mevlana Mahallesi,2025-11-15,Daire,40.0,45.0,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,,1.0,,0.0,2,1.0,1.0,2.0
505,10000000.0,Atatürk Mahallesi,2025-11-25,Daire,120.0,130.0,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,2.0,,0.0,4,1.0,3.0,4.0
506,3000000.0,Kızılay Mahallesi,2025-11-17,Daire,40.0,60.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,18.0,3,1.0,1.0,2.0
507,5750000.0,Kazımdirik Mahallesi,,Daire,125.0,140.0,8.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2.0,,25.0,6,1.0,3.0,4.0
508,3225000.0,Mevlana Mahallesi,2025-11-15,Daire,45.0,50.0,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Eşyalı,Yok,1.0,,0.0,0,1.0,1.0,2.0
509,3100000.0,Yakaköy Mahallesi,2025-10-02,Müstakil Ev,115.0,200.0,1.0,Sobalı,Kiracı Oturuyor,Krediye Uygun Değil,Hisseli Tapu,Hayır,Eşyalı,Yok,1.0,,7.0,0,1.0,2.0,3.0
